month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
11,04,0,2,dawn,fall,takeoffrun,U,none,nocloud,1,1,large,TRUE,FALSE,0
10,24,0,2,day,fall,landingroll,N,none,nocloud,1,1,large,TRUE,FALSE,0
01,16,500,2,day,winter,approach,N,none,somecloud,1,1,unknown,TRUE,FALSE,0
06,17,100,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
09,15,0,2,day,fall,takeoffrun,N,none,nocloud,1,1,medium,TRUE,FALSE,0
11,08,300,2,day,fall,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
09,25,0,1,day,fall,takeoffrun,N,abortedtakeoff,unknown,1,1,unknown,TRUE,FALSE,0
10,01,50,2,day,fall,approach,U,none,somecloud,1,1,medium,TRUE,FALSE,0
09,12,0,2,day,fall,landingroll,U,none,unknown,2,10,small,TRUE,FALSE,0
07,21,300,1,day,summer,climb,N,precautionarylanding,nocloud,1,1,small,TRUE,FALSE,0
05,02,0,2,day,spring,landingroll,U,none,unknown,1,1,small,TRUE,FALSE,0
05,29,0,2,day,spring,takeoffrun,U,none,unknown,1,1,small,TRUE,FALSE,0
04,11,0,2,day,spring,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
06,11,1000,2,day,summer,approach,M?,none,somecloud,1,1,large,TRUE,TRUE,0
06,02,500,2,day,summer,approach,M?,none,somecloud,1,1,large,TRUE,TRUE,0
05,01,30,2,day,spring,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
09,21,400,2,night,fall,climb,N,none,nocloud,1,1,medium,TRUE,FALSE,0
08,31,20,2,day,summer,approach,N,none,nocloud,2,10,small,TRUE,FALSE,0
09,07,0,2,day,fall,landingroll,N,none,somecloud,2,10,small,TRUE,FALSE,0
09,16,0,2,night,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,18,0,2,day,summer,landingroll,N,none,nocloud,1,1,small,TRUE,FALSE,0
03,12,400,2,day,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
02,19,1500,2,day,winter,approach,M?,none,overcast,1,1,large,TRUE,TRUE,0
09,07,2000,2,night,fall,approach,N,none,unknown,1,1,medium,TRUE,FALSE,0
08,04,10,2,dawn,summer,climb,N,none,somecloud,1,1,medium,TRUE,FALSE,0
10,18,200,2,night,fall,climb,N,precautionarylanding,nocloud,1,1,medium,TRUE,FALSE,0
08,22,0,2,day,summer,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
05,18,0,2,day,spring,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
10,16,1,2,day,fall,climb,N,none,nocloud,1,1,medium,TRUE,FALSE,0
02,25,800,2,night,winter,approach,M?,none,overcast,2,10,large,TRUE,TRUE,0
10,10,500,2,day,fall,approach,U,none,nocloud,1,1,small,TRUE,FALSE,0
04,20,2300,2,night,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
11,04,50,2,night,fall,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
08,17,0,2,day,summer,landingroll,U,none,somecloud,1,1,small,TRUE,FALSE,0
05,27,0,2,day,spring,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
07,25,200,2,night,summer,climb,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,11,500,2,night,summer,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,18,0,2,night,summer,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,13,0,2,dawn,summer,takeoffrun,M?,abortedtakeoff,somecloud,1,1,large,TRUE,TRUE,0
11,02,0,2,day,fall,takeoffrun,U,none,overcast,1,1,large,TRUE,FALSE,0
09,20,0,2,day,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
08,08,0,2,day,summer,takeoffrun,U,none,overcast,1,1,small,TRUE,FALSE,0
07,31,0,2,day,summer,takeoffrun,U,none,overcast,1,1,medium,TRUE,FALSE,0
06,29,0,2,day,summer,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
06,24,200,2,night,summer,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
10,28,50,2,day,fall,climb,N,none,overcast,2,10,medium,TRUE,FALSE,0
06,20,0,2,day,summer,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
11,26,80,2,night,fall,climb,M?,precautionarylanding,overcast,2,10,large,TRUE,TRUE,0
10,13,500,2,night,fall,approach,M?,none,nocloud,2,10,medium,TRUE,TRUE,0
07,15,0,1,day,summer,local,N,none,unknown,1,1,small,TRUE,FALSE,0
05,19,0,2,day,spring,landingroll,U,none,somecloud,1,1,small,TRUE,FALSE,0
09,07,0,2,day,fall,takeoffrun,U,none,overcast,1,1,medium,TRUE,FALSE,0
